,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
79,"('on',)","(13,)","(4300,)","(1,)","(0,)","('on',)","(13,)","(5300,)","(20,)","(0,)","['setColorTemperature:5300', 'setHue:20']",2,0.007142066955566406,1103,1113
80,"('off',)","(87,)","(8800,)","(0,)","(95,)","('on',)","(53,)","(8800,)","(0,)","(81,)","['setSaturation:81', 'setLevel:53']",2,0.004785060882568359,737,739
81,"('on',)","(63,)","(6400,)","(80,)","(0,)","('on',)","(73,)","(4900,)","(51,)","(0,)","['setHue:51', 'setColorTemperature:4900', 'setLevel:73']",3,0.007181406021118164,1103,1113
82,"('off',)","(35,)","(5200,)","(0,)","(89,)","('on',)","(35,)","(7400,)","(9,)","(0,)","['setHue:9', 'setColorTemperature:7400']",2,0.004787921905517578,738,740
83,"('on',)","(85,)","(6100,)","(0,)","(74,)","('on',)","(65,)","(6100,)","(0,)","(76,)","['setLevel:65', 'setSaturation:76']",2,0.0048427581787109375,734,740
84,"('off',)","(81,)","(8700,)","(54,)","(0,)","('on',)","(60,)","(8700,)","(84,)","(0,)","['setLevel:60', 'setHue:84']",2,0.004807710647583008,739,741
85,"('on',)","(24,)","(3500,)","(88,)","(0,)","('on',)","(24,)","(2300,)","(82,)","(0,)","['setHue:82', 'setColorTemperature:2300']",2,0.004868030548095703,736,742
86,"('on',)","(22,)","(5300,)","(0,)","(53,)","('on',)","(2,)","(8000,)","(0,)","(53,)","['setLevel:2', 'setColorTemperature:8000']",2,0.0047876834869384766,734,740
87,"('off',)","(19,)","(2900,)","(0,)","(58,)","('on',)","(23,)","(5900,)","(35,)","(0,)","['setHue:35', 'setLevel:23', 'setColorTemperature:5900']",3,0.00961446762084961,1472,1482
88,"('on',)","(66,)","(6300,)","(0,)","(62,)","('on',)","(66,)","(6300,)","(0,)","(10,)",['setSaturation:10'],1,0.002430438995361328,368,370
89,"('on',)","(67,)","(4100,)","(47,)","(0,)","('on',)","(37,)","(6300,)","(18,)","(0,)","['setHue:18', 'setLevel:37', 'setColorTemperature:6300']",3,0.00762176513671875,1103,1113
90,"('on',)","(26,)","(5200,)","(36,)","(0,)","('on',)","(75,)","(5200,)","(77,)","(0,)","['setLevel:75', 'setHue:77']",2,0.0071370601654052734,1103,1113
91,"('on',)","(7,)","(2500,)","(87,)","(0,)","('on',)","(7,)","(4200,)","(0,)","(23,)","['setSaturation:23', 'setColorTemperature:4200']",2,0.0049228668212890625,735,741
92,"('off',)","(94,)","(3500,)","(0,)","(27,)","('on',)","(46,)","(3500,)","(0,)","(90,)","['setLevel:46', 'setSaturation:90']",2,0.0047740936279296875,737,739
93,"('off',)","(3,)","(5500,)","(0,)","(67,)","('on',)","(43,)","(5500,)","(65,)","(0,)","['setHue:65', 'setLevel:43']",2,0.004706859588623047,738,740
94,"('on',)","(65,)","(4200,)","(0,)","(88,)","('on',)","(65,)","(7500,)","(55,)","(0,)","['setHue:55', 'setColorTemperature:7500']",2,0.004806995391845703,735,741
95,"('off',)","(14,)","(2900,)","(0,)","(37,)","('on',)","(14,)","(2500,)","(0,)","(82,)","['setColorTemperature:2500', 'setSaturation:82']",2,0.004762887954711914,737,739
