,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)","('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)",cmds,length,time,memory_num,visited_num
66,"(0, 'digitalTv')","('muted',)","(22,)","('on',)","(0, 'digitalTv')","('muted',)","(91,)","('off',)","[('setMute', 'unmuted'), ('setVolume>0', 91), ('setMute', 'muted'), ('off', None)]",4,0.006582736968994141,92,97
67,"(839, 'digitalTv')","('unmuted',)","(30,)","('off',)","(0, 'digitalTv')","('unmuted',)","(39,)","('on',)","[('on', None), ('setTvChannel>0', 0), ('setVolume>0', 39)]",3,0.003403186798095703,40,44
68,"(644, 'digitalTv')","('muted',)","(90,)","('on',)","(752, 'digitalTv')","('muted',)","(20,)","('on',)","[('setTvChannel>0', 752), ('setMute', 'unmuted'), ('setVolume>0', 20), ('setMute', 'muted')]",4,0.007693767547607422,27,52
69,"(0, 'HDMI2')","('muted',)","(62,)","('on',)","(581, 'digitalTv')","('muted',)","(64,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 581), ('setMute', 'unmuted'), ('setVolume>0', 64), ('setMute', 'muted')]",5,0.008488178253173828,65,86
70,"(534, 'digitalTv')","('muted',)","(38,)","('on',)","(648, 'digitalTv')","('unmuted',)","(48,)","('off',)","[('setTvChannel>0', 648), ('setMute', 'unmuted'), ('setVolume>0', 48), ('off', None)]",4,0.007822990417480469,49,73
71,"(835, 'digitalTv')","('unmuted',)","(24,)","('on',)","(517, 'digitalTv')","('muted',)","(46,)","('on',)","[('setTvChannel>0', 516), ('setVolume>0', 46), ('setMute', 'muted')]",3,0.0045583248138427734,47,54
72,"(508, 'digitalTv')","('muted',)","(16,)","('on',)","(0, 'HDMI2')","('muted',)","(40,)","('on',)","[('setInputSource>0', 'HDMI2'), ('setMute', 'unmuted'), ('setVolume>0', 40), ('setMute', 'muted')]",4,0.010581731796264648,41,81
73,"(700, 'digitalTv')","('muted',)","(84,)","('off',)","(0, 'digitalTv')","('muted',)","(24,)","('off',)","[('on', None), ('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 24), ('setMute', 'muted'), ('off', None)]",6,0.0032618045806884766,26,31
74,"(0, 'digitalTv')","('muted',)","(91,)","('on',)","(506, 'digitalTv')","('unmuted',)","(14,)","('on',)","[('setTvChannel>0', 508), ('setMute', 'unmuted'), ('setVolume>0', 14)]",3,0.0024831295013427734,16,23
75,"(751, 'digitalTv')","('unmuted',)","(11,)","('off',)","(0, 'digitalTv')","('muted',)","(63,)","('off',)","[('on', None), ('setTvChannel>0', 0), ('setVolume>0', 63), ('setMute', 'muted'), ('off', None)]",5,0.005099296569824219,64,68
76,"(0, 'digitalTv')","('muted',)","(23,)","('on',)","(675, 'digitalTv')","('unmuted',)","(71,)","('off',)","[('setTvChannel>0', 675), ('setMute', 'unmuted'), ('setVolume>0', 71), ('off', None)]",4,0.010175228118896484,72,99
77,"(534, 'digitalTv')","('muted',)","(77,)","('off',)","(0, 'digitalTv')","('muted',)","(96,)","('off',)","[('on', None), ('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 96), ('setMute', 'muted'), ('off', None)]",6,0.007675647735595703,97,103
78,"(0, 'digitalTv')","('unmuted',)","(67,)","('off',)","(0, 'HDMI2')","('muted',)","(3,)","('off',)","[('on', None), ('setInputSource>0', 'HDMI2'), ('setVolume>0', 3), ('setMute', 'muted'), ('off', None)]",5,0.008501052856445312,24,43
79,"(520, 'digitalTv')","('unmuted',)","(39,)","('on',)","(0, 'HDMI2')","('muted',)","(55,)","('off',)","[('setInputSource>0', 'HDMI2'), ('setVolume>0', 55), ('setMute', 'muted'), ('off', None)]",4,0.011881351470947266,56,94
80,"(0, 'HDMI2')","('muted',)","(95,)","('off',)","(0, 'digitalTv')","('unmuted',)","(20,)","('off',)","[('on', None), ('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 20), ('off', None)]",6,0.0033969879150390625,22,29
81,"(524, 'digitalTv')","('muted',)","(35,)","('off',)","(0, 'HDMI2')","('unmuted',)","(67,)","('off',)","[('on', None), ('setInputSource>0', 'HDMI2'), ('setMute', 'unmuted'), ('setVolume>0', 67), ('off', None)]",5,0.012409448623657227,68,109
82,"(520, 'digitalTv')","('unmuted',)","(33,)","('on',)","(835, 'digitalTv')","('unmuted',)","(76,)","('off',)","[('setTvChannel>0', 0), ('setTvChannel>0', 839), ('setVolume>0', 76), ('off', None)]",4,0.019659757614135742,77,151
83,"(0, 'HDMI2')","('muted',)","(92,)","('off',)","(832, 'digitalTv')","('muted',)","(64,)","('on',)","[('on', None), ('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 833), ('setMute', 'unmuted'), ('setVolume>0', 64), ('setMute', 'muted')]",6,0.011792421340942383,66,103
84,"(0, 'HDMI2')","('muted',)","(89,)","('on',)","(833, 'digitalTv')","('muted',)","(66,)","('off',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 834), ('setMute', 'unmuted'), ('setVolume>0', 66), ('setMute', 'muted'), ('off', None)]",6,0.012273550033569336,68,105
85,"(0, 'HDMI2')","('muted',)","(60,)","('on',)","(0, 'digitalTv')","('muted',)","(38,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 38), ('setMute', 'muted')]",5,0.004228115081787109,40,46
